,Unnamed: 0,text,label
22,22,wah wah Turkes,1
23,23,masha allah good....yeh hain meri hindi,0
24,24,"Wah wah maja aa gya !! Indian Govt. should host an International Hindi song compitition !! Tarrakki bahut ho gayi ab thoda entertainment ho jai, 'Kyo bhayio aur behno' ???",0
25,25,Mujhe gussa un saale hinduo par aata hai jo nasmjhi me modi ji ka virodh karte hain ..,0
26,26,bharat ko vishwa guru banne se koi nahi rok sakta......vande matram,0
27,27,Sir yeh tho sirf aap hi kar sakte hai. Great sir,0
28,28,Modi jigood preiminister hia,0
29,29,Jai sri ram nama namo,1
30,30,Jan Jan ka viswas kam ho na jai hind,1
31,31,modi ji aage badho pura desh aapke ssath hai.,0
32,32,RAJ KAPOOR KI FILMO KE BAARE ME SUNA THA KI USSR ME PASAND KI JAATI HAI.LAGTA HAI VAH AAJ BHI KAYAM HAY.,0
33,33,we are proud our pm ; ab lg rha h ki hmara desh ek achchi rah pr chal para hai jaha se hm puri world me apna jhanda gaar skte hai,0
34,34,modi ji aap ki soch bahut sahi lgti hai progres n hona hi sabki wajah hai is liye sabse zaroori hai ki desh ka vikas ho,0
35,35,"bhrat ko no.1 banne me ab jyada samy nahi lagega,, kyo ki modi ji jaisa pm bade bhagya se milte hai,,jo bharat ki rftar ko bdane me koi kasar nahi chodege,,,,,,,,,jai hind,,,,,,",0
36,36,Baccho k Dilon dimag ko satya k raste pe lane k liya Is geet ko schoolo me vandana k rup me anivarya karna chaheye .,0
37,37,KARTIKEY KUMAR modi hi des ko agÅ  bada sakate hai,0
38,38,Hahaha budha bachiyo ko taar raha h,0
39,39,Aisa PM naa hua hai aur naa hee hoga kabhi. .,0
40,40,koi hindu nhi koi muslim nhi hm sab hundustani hai,1
41,41,"Modi tujhe jaan se maarna mera kaam hai , main Khalistani huuuuuuu",0
42,42,Modije mera request hai ke ap apna whatsapp no de take mai live pic apko dekha saku,1
43,43,Modiji ap apne desh ka tirnga sari duni me lahraya hum sabko Garv hai ap per maa bharti ka man duniya me badhaya apne ap hum bhartvasio ke dil me bas gaye ho salute sir apko jai hind,0
44,44,Hum Bihar ka to jeet gaye aur UP ka election jeeta dena.Abhi to hum 12seaton se jeete hai hume aur humen 65seaton se jeeta dena.,1
45,45,Pm ho to aisa modi jaisa ji hind jay varat,0
46,46,manka biswas kam jor hona...,0
47,47,Modi is tarah so dekhne se kuchh nahi hota,0
48,48,Modi ji hi aise ekmatra person hai jinme desh ko age Le Jane ki sakti aur jajba hai,0
49,49,Mahan bharat ka mahan beta har har modhi,0
50,50,modi ji aage chalo haem aapki jarurat hai,0
51,51,jai ho bharat mata ki w hamari sanskriti ki jo videshi bhi apnate hai,0
52,52,modi sir app pahale OBC president ho. OBC ke liye kuch karo. bad me koi kuch nahi karega,0
53,53,Sab ka malik ek.,1
54,54,Modi Sab Pranam App bahut Achya kam kar rahe hai is kam me ham sab apke sath hai or meri apse vinti hai ki app apni tabiyat ka khayal rakiye app or app jivo hajharo sal vande matram bharat mata ki jai,0
55,55,Modi ji kale kuto Ka ilaj ker do bhut bimar hai,0
56,56,Sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega.,0
57,57,Jai hind modi sir,0
58,58,Kiu app apne desh ki paisa ko kharab kar rahe ho..apne desh to ghum ke dekha nehi..aap chale dushre ki desh ghumne..koi vala kam aapse nehi hoga modi g..,0
59,59,bahut ho gaya ghumna phirna. ab paani sar se upar jaa raha hai.,0
60,60,jai hind mera bharat mera hindusthan,0
61,61,World best pm narendar modi Ji mira bhart mahan,0
62,62,Lageraho modiji pura des aapke sath he.,0
63,63,"Sir ji you r great,Ap sirf bidesh Bhraman korenge ya Desh Ki bachhe ko v khayal rakhenge,Kitna garub hai hum log,Diya koro sahab",0
64,64,PM ka samman..........mera samman....JAY HIND,0
65,65,JAY JAY HO BHARAT,0
66,66,Kya baat hai g,1
67,67,nice pic modi ji,0
68,68,jaldi aa kar vyapam par kuch kijiye nahi 45 ke paar hattyayen pahuchne wali hai,0
69,69,Salute you sir app bahut mehnat karte hai,0
70,70,Congrats modi jee,0
71,71,"Modi ji aap apna kaam kijiye, kisi ki baat ko mat suniye agar 5 baccho me se do bigad jaayen to bhi paalna to padta hi hai",0
72,72,Sir hm sab digitial india ke platform pe chalna chahte hai.mai samghta ho kifirst priority hmre force ko hny chahiye becaymuse unhe sabse jyada digital hona must hai india ke liye.,1
73,73,Wah modi sab,0
74,74,grt step 4grt relation...nic job sir,0
75,75,Kuch nahi karoge tum india ke liye,0
76,76,Addd mee frnds,1
77,77,Jab tak suraj chaand rahega modi ji ka naam rahega,0
78,78,Unstoppable modi sir,0
79,79,Jada ghumte mat raho hamlok ko madat karo hamar bare socho jara ham madat magte to mili nahi qq,0
80,80,Modiji apne desh ka tho khayal rakho sirf gumne ke pm bane ho kiya falthi pm hai,0
81,81,Modi ji ek aisa star hai wo jaroor India ka star badlega kya khete ho mera bhayio or bheno,0
82,82,Modi ji namashkarSorry to say but aap jab v kahin Facebook pe kuch share karte hain to status ko English me update karte hai...Khusi hogi jab aaapka updates hindi me,1
83,83,Jai hind ks.chouhan bhinmal jalore,1
84,84,Duniya ki technology lane par hi dess ka vikas hoga,0
85,85,Prnam ji kuch desh ke liye mai bhi krna chahta hu bas aapka thoda sath chahiye agar mil jaye to mera kaam aasan or khubshurat hmara desh hoga.,1
86,86,Faltu time nahi hai,0
87,87,Sir aap to India KO bhul gye or gov k paiso PR holiday PR ghum rhe ho aap India me toh dikhai hi nai dete,0
88,88,Hello modi ji,1
89,89,app desh ka dadkhan jaihind,0
90,90,Bhakt se bada anuyai hota hai.,1
91,91,Modi ji hamara hindustan ka naam saada ucha rakhna.jai bharat mata jai hind..,0
92,92,Namsthe sir jai gurudhev,1
93,93,j banda kam kar raha hai ham maze le rahe hai jab sey india ke pm bane hai tab sey laga gai great man in the world .........best pm in the world..... only one on one......,0
94,94,Modi Ji. App mearaku thoda call krdejia. 0096555218960,1
95,95,Is desh ko jarurat h guidelines ki Varna itani jayada aabadi ka desh world no.1 nahi ho sakta.jo vikas ke raste mai aata hai. Usko hamesha ke liye khatam kar do. Chahe wo koi party ho ya galat insan desh ko tarakki chahiye kisi bhi keemat par.,1
96,96,Lage raho sir.,0
97,97,"Sir, Namaskar. Mai Bihar se hun aur aapka jabardash prasansak hu, Aap jo desh ke liye niswarth bav se kam kar rahe hai, aapko sadaib best p.m ke roop me jana jaega. salute to you sir.",0
98,98,Humari sabhayata humari pehchaan...,1
99,99,Maza to tab hai jab kohinoor wapis lao,1
100,100,ache log ko ache gifts hi milte hain jaise indians ko aap mila sir ji.,0
101,101,Respected sir aap aaj pure Bharat ki ummid ho ...ek naya savera aapne hi janta ko dikhaya he...ap dhup bhi nikaliye...,0
102,102,Onli modi sarkar,1
103,103,Modi ji apne ye to kaha diya ki Jo saksham hai vo subsiti na le Main sahamat hoo per please Ek bar himmat juta ker bol dijiye Jo saksham hai vo arakshan na le,0
104,104,jai ho modi jii,0
105,105,Sir aap se koch baat krna he zarori,1
106,106,sir aap kya cheez ho? kamal!!!!,0
107,107,desh gourav badha rahe ho ayushman bhav,0
108,108,sir agar aapke pas thoda sa time ho toh kripa karke es desh ki nojawaano ke liye bi kuch kariye.. jyada jankari ke liye kripyaa msg kariye mujhe,1
109,109,Great PM sahab yeh sab only hmare modi ji hi kar skte h,0
110,110,Apna desh chlane ke liye bola apni myiya chuda rhe ho ghum ghum ke..,0
111,111,UP me kuchh kro nhe to 2017 meBSP aa jayeg,0
112,112,modi saab ye konsi country hai???,1
113,113,Jai hind maniyo pradhan manteri ji me sena bharti nhi hua lekin me desh ki sena ko salam karta hunJAI HIND JAI MATA KI,0
114,114,Modiji aapko hajaro salam.bahut pm aaya gaya karod lekhe gaya but aaptho imndar pm best of luck,0
115,115,"Namastey sir, Jis tarah ap desh ki halat sudhar rhe h. Usi tarah please hum jese peoples pr bi dhyan dijiye.",1
116,116,Modi Ji Kay sare kam acche hay par ek kaam bura hay inko aapan ne jitaya election hay ya World Tour package Purana PM to silent mode or naye PM flight mode hamare desh ki to kismat hi kharab hay,0
117,117,Modhiji se India ki janta ko jo umide thi vo abhi tak jaha ki taha hai kuch esa strong kare jo anewale samay me bhi bana rahe kiyki samay ab kam he,1
118,118,Har har modi ghar ghar modi modi ji aap cha gye congresiyo ke pet me dard ho raha hai apki yattra dekh ke,0
119,119,ghum le puri Dunia chutia bana raha pure india ko kutta sala,0
120,120,Modiji des ne aap pr bharosa jtaya hai aap hmari ummido pr khra utrna,0
121,121,Pradhanmantriji Me sapath leta hu ki jis din humare desh ke sare neta subsidy khana band kar dege us din me bhi apne hisse ki subsidy return kar duga.,1
122,122,India ke sabse lokpriy pm modi ji mai aapse request kartahu pm banne ke baad aap mp ke satna nahi aaye please aap jab bhi mp aaye satna aagman ko acsept kar lijiye. Thanku,1
123,123,Modiji nice parson abi survat hai age age dekho hota hai kay,0
124,124,Modi ji aap badhey chalo janta apke sath hai.,0
125,125,Hindustan ka sher p.m modi jo har country ko apne desh khobiyo se intro karwana chahata haijay hind,0
126,126,Gandhi ji aur aapne apni chhavi se na kewal desh me balki pure wiswa me bharat ka nam gauranwit kiya hai wish u all the best,0
127,127,bharat ka shan narendar modi lakin bihar ka kya hoga modi jee,1
128,128,urgent wrk hai aapke saath modi g,1
129,129,Bharat mata ki jai,0
130,130,Ghandhi gandhi gandhi aakhir ye gandhi hi kya ek logo ko bewkuf bana kr des ko bechne wala,0
131,131,Jai hind jai bharat mata ki jai,0
132,132,Poojjya Narendra modiji good evning mera ek swpna hi aapkasaat ek selpy pooto chaiea anugrha deejia ples,1
133,133,"Modi jee, aap jaha jaatey ho vaha sabko apna bna latey ho, good wishes for you",0
134,134,Jiao hind jai bharat,0
135,135,Modi ji desh ka nam bda rhe he.,0
136,136,"maharani laxmi bai, tatya tope , Subhas chandra bos , ajad , Bhagat etc are the true leaders",0
137,137,Gandhiji ka sanman itnato congress ne bhi nahi kiya,0
138,138,desh ko ap ki jarurat hai aage le jane ke liye,0
139,139,(gandhi)he iz a murderer. he killed subhas ch. bose,0
140,140,Don't forget godse,1
141,141,ek aayas admi tha nehru,1
142,142,india kbhi bhi china ko peeeche nhi kr paaega.....,0
143,143,P.M.NAMO NAMO Aaj aapki vajha se saare Duniya Ghunj uthe hai only MODI MODI Thanks,0
144,144,Modi ser desh me kharab ho rha anaaaj ???? ???? iske bare me kya soch rhe hy aap,1
145,145,hindustan ke dusre mhatma gandhi nerndr modi jee hai har har modi ghar ghar modi,0
146,146,Jai hind.mera desh mhan,0
147,147,Ek naya itihas banayega Modi ji ka karyekaal.,0
148,148,aaj ke mahatma gandhi P.M.Modi jee modi jee me swami vivekanand ki chhavi bhi dikhtee hai,0
149,149,Kabhi SUBHAS CH Bose & Bhagat Singh ki bhi baat kiya karo sirji....Jisne desh k tukde kar diye us aadmi (Gandhi) ki murti anvaran karte phir raheho @ narendra modiji,0
150,150,"maine kai bar suna ki bharat ek din bishwa guru banega. lekin yakeen nahin hota tha. per aap kee lagan aur karya shaily se ab poora yakeen ho gaya,bahut jaldi bharat maha guru ban jayega. bharat maa ki jai.",0
151,151,Mast lag rhe ho modi sab,0
152,152,apne desh ki mahanta ko jitna bhi desh me charcha kiya jaya bhahut hi acha hai,0
153,153,modiji aap itna paysa ghumne me lagarahe ho desh girvi rakhana hai kya,0
154,154,kal modiji nagpur jar nam len sir he vinti aahe sir,1
155,155,"Mei meri puri,,, family modi sir se bahoot,,, peyar karte hai",0
156,156,Vande mataram. ..Jai hind. .Jai bharath,0
157,157,modi ji bangladash sa sab hendu ko india ma la chaleya plz eha musalman hendu ka vume dakal karlata ha or ve bahot aneti karta ha,1
158,158,Modiji to apne desh ko aage le jane ke liye bhut kuch kr rhe hai ab desh ke youngest ko jag ne ki bari hai ..... jay hind,0
159,159,Modi sir welcome aapko or hum aap jaise sir ki jarurat,0
160,160,Sir ji aap se bat karna hai hame,1
161,161,"Bharat Nav nirmaan karenge MODI Ji,shaktishaali rastra banaaven MODI Ji",0
162,162,Jai hind modi ji,0
163,163,Udar hamare indian faoj ko pakistan goliyo se bhuj raha hai or navaj se hath mila rahe hai,0
164,164,bas isi tarah aap age badate rahiye hum aapke sath hai ...,0
165,165,Modi ji sorry bidesoon main mat ghoomo apne naitaoo saansdon ko pakdo belagaam hote ja tahe hain gareeboun ki socho 1 2 Rs ki policiyon se kuch nahi hoga moti aasamiyoun se paisa nikalo gareboun se nahi,0
166,166,Good deed modi bhai ji......hme hmara desh fir se golden sparrow bnana h....wo spna sch hoga...jiske liye god n apko select kiya h...thnku god...4 modi ji,0
167,167,modi ji. Assam and megalaya me ak khel hota he jiska nam he ter plz usha bond kijea.,1
168,168,May pm supar dupar nmo nmo,0
169,169,modi ji jay ram ji ki,0
170,170,Lega rhia purei takt k sath sbhi bharrt venseyo ki duaey ap k sath hai,0
171,171,modi ji pakishtan ko muhtod jabab dena hoga,0
172,172,Koi fayda hai inko ye sab dikhane se????,0
173,173,Kya pm bihar me aana. chahte hai,1
174,174,Sir ji kamal kardi apne vides me bhi.,0
175,175,Chankya ne kha hai .. Agar aapko ek kadam aage badhna hai to pahle 10 kadam piche rakho,1
176,176,PM ji ne toh poore vishwa mein ye saabit kar diya hai ki India sab ke sath badhega.,0
177,177,Modi ji grat,0
178,178,"Modi sir yeh kaunsi jagah chale gaye ho, mere se toh naam bhi sahi se nai liya ja raha...lol :-D",1
179,179,Modi sirf naam he kahi hei,0
180,180,"Itni energy vaala perhaps he koi p.m.raha ho india ka, aapkey liyye bhagvaan se prey kertey hai, sabka saath... Sabka vikas....jai ho",0
181,181,Modi mission : 2 establish world brotherhood...grt man grt thinking @ Modi : a boon 2 earth,0
182,182,Modi ji aap aage bado hum tumhare shath he..,0
183,183,Modi g jaha bhi gaya apna jhanda gaar kar aya.,0
184,184,Modi ji bharat ki badhti abaadi ki fikar kijiye Jo bharat ko patan ke maarg per lejaa rahi h,0
185,185,"Hamare desh ko aage badhane vale, logo me utsah jagane, narendra modi ji ko bhagvan hamesha khush rakhe.",0
186,186,Apka kya khna PM ji,1
187,187,I love u.modi sir jankibhi jarurat ho to mang lena haste haste.dedege aap ka subh sintak,0
188,188,Yehi jadu hai modiji ka jaha jate log pyaar karte hai,0
189,189,Modi ji desh ke kanun me kuch Sridhar karyein,0
190,190,Lov u modi ji,0
191,191,Yes yes yes,0
192,192,Me bhe aap ka bahut bada dewana hu,0
193,193,modi ji apko sahi dimag ko me salute karta hu,0
194,194,"Mr. Pm hme aap par graw hai. Manish kumar, nasriganj",0
195,195,Lambe samay ke baad desh ko ek samarth n samarthyavan neta mila hai jo videsho me bhi lokpriya hai.,0
196,196,"india ka log ka vote ka valu delhi me samach ayyena.india me avo modiji,idhar bhahuth problams he solve karne ka",0
197,197,akele modi kya ker sakte hai.........akela aadmi pahad nhi khod sakta,1
198,198,"Joy hind, Varot mata ki joy",0
199,199,modiji aap great ho but dekhna kahin bahr rishte ache karte karte aapke 5 saal na nikal jayen ..:P,0
200,200,Aap great ho modi ji aapki wajah se hamara sir fakar se ucha ho gaya dunia me jay ho,0
201,201,sicha vibhag ki tarah koi dhyan q n deta jo most important hai log apne baccho ko sarkari college ki jagah private collego me q pdhate hai,0
202,202,"agr is desh me badlaw lane hai to sampark kre 9451551081, pe mere pass sujhaw aur tarika dono hai teachero ka vetan bhar bdhate jao jo sote hai collego me soche fir comment kre",1
203,203,ghumna band karo modiji ab thoda sarkar ko bhi dekhlo ..............................,0
204,204,Great prime minister modi ji jai hind,0
205,205,PM MODI JI BAHUT UDARWADI VIKAS PURUS HAIN,0
206,206,"Modi ji aapnea teo kamaal kar diya ji aap ka kaam deakhatea hi muchha majaa aa jata hai ,tv. Per dekhea nhi ki mud fresh ,congratulations ji",0
207,207,Mananiy & sammananiy narendra modi ji is yug k Aap Lauh Purush hai mujhe aap par garv hai Aapko koti-koti Naman,0
208,208,modi ji hame app per garv h lakin desh ka vikas tab hoga jab sabi bhartiyo ki soch Appke jaisi hogi,0
209,209,AAJ mere desh ko anteraatma SE jaga hua honable PM mila,0
210,210,Modi ji aap jesa koi nhi dhanywad aap desh ki kitni sewa karte hai jese ak beta apni ma ko poojta hai,0
211,211,Narendra damodar modi g acche din kab ayenge babu. Hai koi upaye.,0
212,212,ppp model chirman in rajesthan is lalit modi,1
213,213,"Tajikistan ne Gurudev Tagore,Mahatma Gandhi ki peetho ki sthapanaa karake Bharat k bhaavaatmak ekataa ko sudridh kiya h",0
214,214,Hamre vote nahi milenge aapko agar us din muslim ki cap pehni to,0
215,215,mahan bibhutiyo ko naman karna sacchi dhridhata ka sabse anmol marg hai .aapko sadar naman,0
216,216,Namaskar app ki vikash bahut achhi gurdev sab se achhi,0
217,217,Aap Hindutva kabhi na bhuliyega,0
218,218,hindustan ka raja he bhai,0
219,219,good soch pm narendra modi,0
220,220,Plz sir aap se baat kar ne hai,1
221,221,Abki baar phir modi sarkar,0
222,222,"oh great,,..har din apko dekh ke nai urja milta hai.ap jio hajoro sal sir ji or india ko biswa bijai banao..",0
223,223,Tusi bast pm ho modi ji Sade I'm panjabi,0
224,224,sir apne rastriya rojgar youjana me sms job ke liye news paper me add dya he kya???,1
225,225,mene ap ke paas mail kiya hai mughhhhhe aap se answer chahiye,1
226,226,modi ke maki chooooooooth me mera booooooooooolaaaaaaaaaaaaaaa,0
227,227,Bharat mata ke ji,1
228,228,Ise share karo plz,1
229,229,BJP VIJAY hooooooooooooo,0
230,230,"Tu bhi jhootha nikla ,Vaada tera vaada hi nikla...",0
231,231,apna pm modi g ka jalwa...,0
232,232,PM Saab aapkey swatch BHARAT mission ke Himachal Ki Raajdhaani sey ek tasweer bhejee hai mainey kal. Usey jarur dekh Lena,1
233,233,priya narandra modi pm ji apkaisa ho good night,1
234,234,pm uncle abki bar naya bihar bihar ki janta banayegi bjp sarkaar,0
235,235,Devlope sirf sahro me hota hai gawo me nahi.,0
236,236,Mee atalji ko bahat pasand kiya tha. Unka adarsh great tha. Uske bad app ayee sir i salute you,0
237,237,Kabhi ghar me bhi raha karo modi ji?,0
238,238,PM MODI JI KI JAI HO,0
239,239,kyonki aapke baare main jaanta hu to aap bhi mere baare me saari jaankari jaane,1
240,240,Bahut sundar. Hardik subhkamnaye,0
241,241,modiji....humane apko wot diya lekin muze ab lag raha he ki me rong tha,0
242,242,"PRANAM,JAI HO",1
243,243,GOOD MORNING TO ALL OF UP M SHRI NARENDRA BHAI MODI JI JAY SHRI KRISHNATHANKS TO BOTH OF USANGITA PATIL MLAVIJAY KUMAR Vicky Mavan SoniJAY SHRI KRISHNA,1
244,244,Modi ji ek aise shashank hai jo wacky ki hindustan ko hindustan he bana rahi hai ab jaake hindustan taraqqi kar raha hai I love modi sarkar,0
245,245,modi sir ko namo namo.humko garb hotahe kiuki humare matrubhumi ne yesa birpurus ko janam diyahe.,0
246,246,apka koi v yojna-Plan sahi Trah se upyog nahi ho paya h.....,0
247,247,mai aap se milta chahta hu lekin mai mil nahi pawga,1
248,248,modi ji kese ho ap.. videsh me apka dheyan rakha ja raha hai na sir.. sir ap please jaldi se ajao fir maan ki baat karna I'm waiting for it sir.. take care sir,1
249,249,Narendra modi ji plz court me jo cases pending hai use jldi nyai mile aisi koi upai yojna kre,0
250,250,"Election jantak chunne k hota h ya neta juth bolte h bade2 wade karte h,lakin wahi'ENGRAGI SASAN'Ise badlega kon jise humne chunna h lakin wo badlega to wo satta sukh,bade2 ghotale,janta ka pesa janta k leya kyo pryoge nahi ja raha,",0
251,251,Bhai ghumta rahio kaaam koi na kario,0
252,252,Or kuch ho ja na ho par j bnda sarkari paise par duniya jarur ghum lega.,0
253,253,"Jb chunane ka aadhikr janta ko h to,jb unhe lage ke galat aadmi chuna gaya h to,5yr kyo sahe uske tanasahi,reject kre usa,isse neta janta k pirti jyda jimmadare honge.",1
254,254,Sunil ji Brahmand ke Sher hain hamarein Modi Ji,0
255,255,India ka hal aisa hote jaiega to india may koi educated person nehi nicklegi,0
256,256,plz modi ji aapke desh basioko samjhaiya ki buddha ka janam nepalmain huwa hain na ki india me.,1
257,257,modi sir....you come bihar.because neccessary to bjp government in bihar.......har har modi ghar ghar modi.....,1
258,258,Kewal ghumte raho aur india ka ko narak me badal do tumhara modi yahi kahani,0
259,259,Modi ne kuch kiya ki nahi... wo pata nhi.. pr wo 5 sal me pura world jrur ghum kr aayega,0
260,260,background music plz..Phul mangu na bahar mangu Mai to sanam tera pyar mangu ?,1
261,261,Modi ji aap dash kahenhe sbheka diloke P.M.ho,0
262,262,Jabtak surj chand rhega tabtak modi ji sarkar rhega ....jay hind,0
263,263,Har har modi ghar ghar modi all world modi ji gud work sir ji,0
264,264,kitni khoobsurat ye tasveer h,0
265,265,modi ji roj hajaro gaaye kat rhi he uanka kuc kro jo bi suvar gaayo ko katata he un ko fasi do ya haat per kat kr corahe pr fek do salo ko,0
266,266,Bade dhayan se dekh rahe ho,1
267,267,Jitni daulat ye neta log vides ghumne me kharch kar dete agar wo garibo me bat de to kitno ka pet bhar jayega,1
268,268,sir gay mat aki hatyaye roko,0
269,269,"waqt sahi, nirnay sahi, sachi mein sahi waqt par sahi nirnay lenevala hamare saath hai tho, hamare bharath ko our bharat vaasiyon ko our kya chahiye sir ji. hum sab aapke saath hai sir ji.",0
270,270,Kyo pade ho chakar me koi nahi hai takar me. Modi is best pm .,0
271,271,Bapu g nirdhos h auko jaldi bahar lao,0
272,272,abhi dobara vote ho jaay bjp 7 seat bhi nahi mlaygi jai rajesthan,0
273,273,Pm ky sath videsh mantri bhi h modi,1
274,274,SRIJI Jantar mantra padhare !aapko nyota hai !,1
275,275,ati uttam modi ji,0
276,276,Modi ji apne kaha tha ki assam se sab bangladesi jald hi jayenge. Par apne to unko dawat pe bulawa diya . Jo naukile kata tar se assam ata he uske liye to apne volvo bus bhej diye. Apse hamko ye ummid nehi thi.,0
277,277,Apke niti se ane wale salo me bharat sabse age hoga... Or apki widesh niti bahot hi badhiya h...,0
278,278,Enjoy krlo humare paise se ...world tour waw. .....,0
279,279,modiji yehi voh desh hai jo hume aur mazbut banayenge,0
280,280,"Nari samman Desh ka samman,Nariki unnati Desh ki unnat",0
281,281,"Pehli bar desh ki ""AAN BAN SHAN""dikhth he , jispe hame ""NAZ"" he.salam to p.m.",0
282,282,Welcome modi jee,1
283,283,Dhyaan se sir bike se mt gir jaana hahaha,0
284,284,great modi ji,0
285,285,please sir apke rhte vito power dila dena ......................,0
286,286,kise kaam.ki.nh hai jo ..,0
287,287,Sir aap aage chalo hum aapke saat he,0
288,288,"Sir,kuch apne desh me bhi ghoom liya jaye, kahin bijli to kahin pani,aur kahin road hi nahi haiAchhe din jab aayenge aate rahenge,aap to aao",0
289,289,Bharat desh ke liye avatar hai pm modi ji,0
290,290,Mullo ko bhagao...TP mat karo,0
291,291,Jo aap ke sat rat din lga rha,1
292,292,Sir reconnection ke liye fir se jaana pad sakta hai kya ?,1
293,293,Kailash vijaywargiya ko nikaal bahar karenge aap ya apni saari mehnat or haamare bharoshe pe paani phirwaiyega,0
294,294,india ka mal jitna paroge ghum lo 5 sal ke bad aap nehin aaoge,0
295,295,modiG u r great pm.lakin un sainiko ka bhi koi solutation h jo jantr mantr pat 29 din se bhukh hardtal oar baitha h.aur hamara media is news ko dikha bhi nhi raha h.WaH india ka media wah,0
296,296,Saare jahan se achha hindustaa hamara,0
297,297,Jo gau hatya band ni kar sakta woh hamare kam ka nehi,0
298,298,Thank you sir apka yatra se desh ko jarur fayada hoga hame garv hai app par aur apaki nitiyo par,0
299,299,Great sir'' jabtak suraz chand rahega modiji ka naam rahega....,0
300,300,Modi ji zindabaad hamare desh ka strong hain joh India ki image badlega,0
301,301,Tan aur Mann desh Kay liye pranam modi ji .,0
302,302,Great modi ji welcomes,0
303,303,Aaj har nagarik ke man main ek hi chahat hai ki narendra modi kuch karenge.aaj haar yuba,0
304,304,Sat sat naman,1
305,305,Welcome back Mr pm.ab kitne din rahenge India me???ye paisa kisika baap ka nehi hai.hamara hai.hamare paison Se bidesh ja kar ghumte ho saram nehi aati???,0
306,306,Swagatam Maa bharti apne pass bula rahi h,1
307,307,sar in pakistanio ka kuch kijiye...... kuch pakistani log daily aapka naam lekar india walo ko gaaliya dete h,1
308,308,P m ji roj yhi khre milte ho,0
309,309,Sehar aa gaya,1
310,310,sar aap se jaruri baat kar na he sar mera no 9747375375,1
311,311,Punjab me disst... ferozpur,1
312,312,One rank one pension ke liye Pease nahi hai sharm karo bhul gaye Rewadi ki pehli relli ko PM SAAB,0
313,313,Sir aap jo kam country ke lea kar rahe hai uske lie aapko badhi,0
314,314,"P.m modi jee.aj mgnrega sab se top par hai.garamin chhetro mai esse playan ruka hai.lekin esme gram rojgar sewk, j.e. in sabka vawisy aap ke hath mai hai. Hum apne priwar ka laln paln dhang se nhi kr skte.bacho ko achhi shiksha bhi nhi de skte.",0
315,315,Jai hind shar,0
316,316,"Sir, Abhi desh ke sabhi state ka tour laga ne to nikle. Jaise 2014 ke election me aap nikle the. Aab dekhye kitna parivartan/ change hua hai ke nahi.",0
317,317,modi g ke jajbe ko koti koti naman,0
318,318,aabay india k sowar. cow ka peshab penay walay . pakistan aja. tujhe karachi ka peshab khane ly jaounga. roz 3 liter pelaounga. or khane hai tujhe cow ka gobar bhe khelaounga. maa ke choot tere or teray bhen l loray BAGWAN ki,0
319,319,Sir g hum pad likh kar be barujgar ghum rhaye hain .....hun etni mahnat kar kye pade or etna padne k babjud be koi kaam nhi mil rha sab paise kye piche hain sir g ....plz hlp me sir g,0
320,320,Future ki baat mat karo .Hamara aaj bigad raha hai.,0
